City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,hagere maryam,5.6333,38.2333,55.9,84,81,3.36,ET,1701042184
121,laguna,38.421,-121.4238,64.02,31,0,8.05,US,1701041887
122,avarua,-21.2078,-159.775,78.85,69,75,21.85,CK,1701042185
123,wailua homesteads,22.0669,-159.378,79.23,81,75,17.27,US,1701042056
124,whitehorse,60.7161,-135.0538,41.09,75,75,15.01,CA,1701042185
125,glogowek,50.3536,17.8641,28.53,74,71,4.38,PL,1701042158
126,rongelap,11.1635,166.8941,82.31,77,20,20.89,MH,1701042185
127,alesund,62.4723,6.1549,35.76,80,4,16.11,NO,1701042067
128,ciudad acuna,29.3232,-100.9522,61.09,44,75,12.66,MX,1701042186
129,kapa'a,22.0752,-159.319,80.58,80,75,17.27,US,1701042186
130,lijiang,26.8688,100.2207,36.39,55,2,3.69,CN,1701042187
131,edinburgh of the seven seas,-37.0676,-12.3116,55.15,67,11,31.43,SH,1701042187
132,christchurch,-43.5333,172.6333,67.53,57,94,16.11,NZ,1701042058
133,zhangatas,43.5667,69.75,50.14,29,99,4.07,KZ,1701042188
134,utrik,11.2278,169.8474,82.11,73,94,20.29,MH,1701042188
135,al muwayh,22.4333,41.7583,72.32,32,27,7.61,SA,1701042188
136,labrador city,52.9463,-66.9114,24.71,80,100,5.75,CA,1701042010
137,marka,1.7159,44.7717,79.34,78,100,6.15,SO,1701042188
138,goure,13.9835,10.2704,77.43,24,53,7.96,NE,1701042189
139,touros,-5.1989,-35.4608,77.83,75,1,11.65,BR,1701041949
140,tenno,39.9,139.9667,38.41,81,99,4.45,JP,1701042189
141,codrington,-38.2667,141.9667,57.72,67,100,13.0,AU,1701042154
142,tiksi,71.6872,128.8694,-11.49,100,96,6.33,RU,1701042189
143,talnakh,69.4865,88.3972,-10.62,98,80,5.84,RU,1701042189
144,asau,46.4333,26.4,27.52,80,100,7.54,RO,1701042190
145,puerto ayora,-0.7393,-90.3518,77.56,90,55,7.0,EC,1701042190
146,phan thiet,10.9333,108.1,76.95,79,100,5.66,VN,1701042190
